image,predicted,expected,correct
ak1165.png,UW099,FUW999,0
ak399.png,FGJZ35,FGJ235,0
ak721.png,ALA5KA,FHG521,0
ak848.png,FJ33,FPJ331,0
al1156.png,5T304,6A5730A,0
al1181.png,GL0G,26A178N,0
al1204.png,W8AL-,9A9990A,0
al1247.png,ATN3AF,47A434F,0
al1259.png,KAAZ0C,KAA20C,0
al145.png,ATA80AC,47A8D4C,0
al1528.png,1G3Z9G8,1G3296B,0
al1662.png,Z13G334,2A3633A,0
al47.png,Z5F0J,2A9043J,0
ar1097.png,UN10Y,UNI,0
ar1258.png,Y,541AXY,0
ar127.png,9911NJ,991LNJ,0
ar1282.png,318ACZ,318ACZ,1
ar1308.png,3550CT,355OCT,0
ar1487.png,8,NOX218,0
ar285.png,-GAK,514KZE,0
ar477.png,1ZA1KA05,133IIS,0
ar480.png,094-NKC,094NKC,0
ar624.png,AANYTEXT,ANYTEXT,0
ar726.png,3Z4AZY,324AZY,0
ar785.png,050-LRR,050LRR,0
ar800.png,5Z0WRK,520MRK,0
ar810.png,AN0XZZG,NOX226,0
ar834.png,051AAAC,AAAC,0
ar867.png,1GAK,357HPB,0
ar883.png,A808TLAN,087LAN,0
az1001.png,LTG-NWN,176NWN,0
az102.png,NGRT5L8,AGB7548,0
az1193.png,TWATZ0NAT,4YA411,0
az1429.png,T,IM4REAL,0
az158.png,F5NLEUR,FSM4EVR,0
az381.png,1919-RMW,919RMW,0
az443.png,A5T308T,AST3087,0
az589.png,W1GGZ,W16627,0
az758.png,8UKTL5T,BUKTLST,0
az808.png,410000AAA,100AAA,0
az837.png,J5Z-ARM,752ARM,0
az943.png,AR1Z0NAN,CUNAZ,0
ca1000.png,HATC0Z,HALTC02,0
ca1043.png,NC5EKRT90,5EKR790,0
ca1073.png,0UK0AWG,DUKDAWG,0
ca1127.png,8U881EZ,BUBBIE2,0
ca1136.png,8UNHT19,5UMH719,0
ca1173.png,JAKEMRY,JAKEMRY,1
ca1194.png,U05PEE01,Y0SPEED,0
ca1218.png,C555NNY09Z,5NNY092,0
ca1543.png,FALKATRZ,ALKATRZ,0
ca1564.png,50Z30,5AOJ230,0
ca1574.png,JM15AYN,IMJSAYN,0
ca1591.png,P0W9T9T,P0W9999,0
ca1592.png,5PPP0GL,5PPP064,0
ca1622.png,X,WC6DX,0
ca1629.png,LHFX108,4HFX108,0
ca1635.png,GFGR999,6FGR999,0
ca241.png,LNZK1G1,4NZK761,0
ca261.png,ALTK1TLC,6LIK274,0
ca286.png,5UCFZ03,5VCF203,0
ca350.png,GM8U00G,6MBV006,0
ca359.png,MCG0ZGZG1,6DZG261,0
ca366.png,C85TRL59,5SIR459,0
ca424.png,NTTY,NTGUILTY,0
ca519.png,588MZ99,5BBM299,0
ca574.png,LC0G,4CVU806,0
ca740.png,5ALN0L5,5ALN015,0
ca780.png,5AMPLE,SAMPLE1,0
ca857.png,EL5ZJC90T,5ZJC907,0
